Scaling factor	2.6659506944613276
75 Original American Rock’n’Roll Anthems 2	0.36351901622352795 0.26103676033032575 0.2041418712774395 0.6723634371859488 -0.3106694369416284 0.11815846834356947 0.09440702559391044 0.07868108552711649 0.06748420610303275 0.4193242168768114
Best of the 50's Collector's Edition	0.3635190162244664 0.2610367603312957 0.2041418712782386 0.6723634371813183 -0.31066943693889365 0.11815846834802368 0.0944070256027133 0.07868108553100314 0.0674842061005846 0.41932421687988136
Essential Early Recordings	0.3635190162266105 0.26103676033153045 0.20414187127824332 0.6723634371838967 -0.31066943693869725 0.11815846834840946 0.09440702559377125 0.07868108553040105 0.06748420610216355 0.41932421687698734
Love Is...	0.3635190162234921 0.2610367603306961 0.20414187127778344 0.672363437180916 -0.3106694369438497 0.11815846834473145 0.09440702559779784 0.07868108552915182 0.06748420610521072 0.4193242168802258
Rock 'n' Roll Love Songs	0.3635190162242926 0.2610367603313202 0.20414187127175265 0.6723634371864547 -0.31066943693238447 0.11815846834436758 0.09440702559797763 0.07868108552930873 0.0674842061053495 0.41932421688122035
More Rock'n'Roll Love Songs	0.3635190162248817 0.2610367603309147 0.20414187127347835 0.6723634371861078 -0.3106694369380549 0.11815846834854397 0.09440702559748906 0.0786810855329031 0.06748420610068045 0.41932421687671556
"Love Hurts" The Everly Brothers Collection Volume One	0.36351901622515315 0.2610367603309796 0.20414187127369554 0.6723634371862265 -0.3106694369380774 0.11815846834857342 0.09440702559351116 0.07868108552705658 0.06748420610887552 0.4193242168768976
Arbeidsvitaminen, Volume 1	0.36351901622161514 0.26103676032989304 0.20414187127141575 0.6723634371844147 -0.3106694369432555 0.11815846834555271 0.09440702559987384 0.07868108553002892 0.0674842061056796 0.41932421687926674
Arbeidsvitaminen, Volume 2	0.36351901622570715 0.26103676033136475 0.20414187127355907 0.6723634371823025 -0.31066943694023225 0.11815846835094856 0.0944070255987012 0.07868108552971817 0.06748420610161888 0.4193242168795216
Arbeidsvitaminen, Volume 3	0.36351901622483745 0.2610367603267799 0.2041418712809019 0.6723634371872063 -0.3106694369373254 0.1181584683489019 0.09440702559770693 0.07868108552908872 0.06748420610335226 0.4193242168748598
Simply the Best 60s	0.36351901622518495 0.2610367603261523 0.2041418712778526 0.6723634371871866 -0.3106694369332333 0.11815846835032942 0.09440702559378561 0.07868108552757999 0.06748420610347133 0.41932421687959914
25 Years of Rock 'n' Roll: 1965	0.3635190162255754 0.2610367603273823 0.20414187127763078 0.6723634371867401 -0.31066943693771226 0.1181584683488838 0.09440702560094062 0.07868108552670304 0.06748420610303302 0.41932421687589577
Housewives’ Choice: Favourite Hits From Yesteryear	0.3635190162228159 0.26103676032442474 0.2041418712773213 0.672363437186042 -0.3106694369373214 0.11815846834883847 0.09440702559187646 0.07868108552692225 0.06748420610291013 0.4193242168823159
Happy Days of Rock 'n' Roll 50's	0.3635190162252069 0.2610367603269372 0.20414187127760589 0.6723634371866805 -0.310669436937663 0.11815846834500417 0.09440702559637464 0.07868108552777299 0.0674842061093187 0.4193242168773166
A Groovy Kind of Love	0.3635190162226579 0.2610367603251482 0.2041418712770114 0.672363437185402 -0.31066943694205634 0.11815846834703957 0.09440702559602424 0.07868108553215754 0.0674842061016274 0.41932421687911964
Country Collection 2	0.3635190162275854 0.2610367603282057 0.20414187127829178 0.6723634371844963 -0.31066943693566534 0.11815846835001839 0.09440702559841262 0.07868108552636438 0.06748420610581374 0.41932421687823146
No.1 Hits of the '50s	0.36351901622675403 0.2610367603279885 0.204141871277978 0.6723634371840566 -0.3106694369388994 0.11815846834815769 0.09440702560031221 0.07868108552681119 0.06748420610699757 0.41932421687750043
Greatest Love Songs	0.3635190162270084 0.2610367603282068 0.20414187127802433 0.6723634371843047 -0.3106694369388965 0.11815846834525794 0.09440702559817385 0.0786810855265489 0.0674842061059016 0.41932421687833493
A Prairie Home Companion: Duets	0.3635190162263365 0.26103676032734324 0.20414187127389752 0.6723634371865556 -0.31066943693489646 0.11815846835002312 0.0944070255945686 0.07868108552782387 0.0674842061036986 0.41932421687994315
Ídolos del Rock	0.3635190162241613 0.2610367603257691 0.20414187127255612 0.6723634371852992 -0.31066943693850546 0.1181584683480196 0.09440702559701405 0.07868108553309995 0.06748420610666186 0.41932421688086235
20th Century Hits for a New Millennium: 1955–1959	0.363519016225597 0.26103676032721734 0.20414187127389247 0.6723634371859892 -0.3106694369384855 0.11815846834471316 0.09440702559885317 0.07868108552971638 0.06748420610219197 0.4193242168795027
The Greatest Rock ’n’ Roll Collection Ever!	0.3635190162274676 0.2610367603281613 0.2041418712745945 0.6723634371837917 -0.3106694369372094 0.11815846834956326 0.09440702559818683 0.07868108552946729 0.06748420610243602 0.4193242168802948
Voices of the Century	0.3635190162217708 0.261036760333572 0.20414187127478742 0.6723634371862158 -0.31066943693767596 0.1181584683486176 0.09440702559750831 0.07868108552894001 0.06748420610251067 0.41932421687830257
Soft Spot	0.36351901622081034 0.2610367603302648 0.20414187127725233 0.6723634371879166 -0.31066943693951476 0.11815846834852389 0.09440702559740549 0.07868108552643148 0.0674842061039707 0.4193242168763719
Bärenstark! pop revue	0.36351901622246985 0.2610367603309961 0.2041418712777637 0.6723634371865239 -0.31066943693748006 0.11815846835138862 0.09440702559559948 0.07868108552666013 0.06748420610556886 0.4193242168772794
Gone, Gone, Gone	0.36351901622362 0.2610367603311245 0.20414187127782957 0.6723634371867497 -0.31066943693761295 0.11815846834888494 0.09440702559775185 0.07868108552677817 0.06748420610625563 0.4193242168760517
24 Original Classics	0.36351901622341415 0.2610367603311197 0.20414187127783165 0.6723634371867349 -0.3106694369375925 0.1181584683463813 0.09440702559938872 0.07868108552725477 0.06748420610413529 0.41932421687680266
The Originals 8 / Country Stars From the 70's	0.36351901622050853 0.2610367603304511 0.2041418712774028 0.6723634371856824 -0.3106694369404416 0.11815846835089024 0.09440702559825673 0.07868108552629942 0.06748420610388121 0.41932421687831084
Super Oldies	0.3635190162228934 0.26103676033079887 0.20414187127760156 0.6723634371862649 -0.3106694369399087 0.11815846834814704 0.09440702559710676 0.07868108552858773 0.0674842061071298 0.41932421687594384
Casey Kasem Presents: America's Top 10 Through the Years - The 50's	0.3635190162247257 0.26103676033177836 0.20414187127829725 0.6723634371850918 -0.31066943693595633 0.11815846834963059 0.09440702559814393 0.07868108552940051 0.06748420610378318 0.41932421687785015
The Number One Collection	0.3635190162222666 0.2610367603313696 0.20414187127805405 0.6723634371836233 -0.310669436938172 0.11815846834850974 0.09440702560054991 0.07868108552677387 0.06748420610531478 0.41932421688063315
Classic Country: 1950-1959	0.3635190162226466 0.26103676033142514 0.20414187127808583 0.6723634371838483 -0.31066943693819354 0.11815846834854313 0.09440702559435038 0.07868108552733531 0.0674842061063025 0.4193242168810744
Music of Your Life	0.36351901622230987 0.26103676033104684 0.20414187127780684 0.672363437183564 -0.3106694369409263 0.11815846834995092 0.09440702559527503 0.07868108552843354 0.06748420610456403 0.4193242168797853
Greatest Ever! Country: The Definitive Collection	0.3635190162195356 0.26103676033008566 0.2041418712737752 0.6723634371877514 -0.3106694369397487 0.1181584683484053 0.09440702559731602 0.07868108552876586 0.06748420610488935 0.41932421687858307
Sweethearts & Stolen Kisses: True Love Ways	0.36351901622340427 0.2610367603311185 0.2041418712752703 0.6723634371864918 -0.3106694369377659 0.11815846835101236 0.09440702559585874 0.07868108552915895 0.06748420610618168 0.4193242168771213
I Just Love Rock 'n' Roll	0.3635190162239532 0.2610367603312046 0.20414187127550584 0.6723634371866517 -0.3106694369378213 0.11815846834878742 0.09440702559767547 0.07868108552681233 0.06748420610249459 0.4193242168775363
Two Yanks in England	0.36351901622227156 0.26103676033105044 0.2041418712747419 0.6723634371863032 -0.31066943693768045 0.11815846834575355 0.094407025596533 0.07868108553087297 0.06748420610297295 0.41932421688000526
Classic Country: '50s Legends	0.36351901622167454 0.261036760330665 0.20414187127459862 0.6723634371857524 -0.3106694369404061 0.11815846834761241 0.0944070255993343 0.07868108552965737 0.06748420610277586 0.41932421687887766
Legendary Pop & Rock Groups	0.36351901622374266 0.26103676033096934 0.2041418712754937 0.6723634371863293 -0.3106694369399066 0.11815846834609618 0.09440702559732454 0.0786810855287897 0.06748420610461867 0.4193242168770592
The Golden Years of the Everly Brothers	0.36351901622353294 0.2610367603314412 0.20414187127520847 0.6723634371841104 -0.3106694369387108 0.11815846834807438 0.0944070255996726 0.07868108552987177 0.06748420610301141 0.41932421688013044
Reunion Concert	0.3635190162247404 0.2610367603315426 0.20414187127576058 0.6723634371848473 -0.3106694369386582 0.11815846834825237 0.09440702559509694 0.07868108552722898 0.06748420610424515 0.41932421687917476
25 Rockin' & Rollin' Greats	0.3635190162200394 0.2610367603269155 0.2041418712775314 0.6723634371885733 -0.3106694369365277 0.11815846834883915 0.09440702559759678 0.07868108552896831 0.06748420610504538 0.4193242168790693
Lemon Popsicles and Strawberry Milkshakes: Rock & Roll Heartthrobs	0.36351901622100613 0.261036760327355 0.20414187127781433 0.6723634371862744 -0.3106694369372315 0.11815846835182742 0.0944070255985003 0.07868108552946323 0.0674842061053741 0.41932421687981086
The Best of Soul Music	0.3635190162200158 0.26103676032685236 0.20414187127780542 0.6723634371861417 -0.3106694369371147 0.11815846834886602 0.09440702559774448 0.07868108552916146 0.06748420610525474 0.4193242168821252
Memories... Are Made of This: 40 Timeless Classics	0.363519016222434 0.2610367603280631 0.20414187127791647 0.6723634371866221 -0.3106694369374174 0.1181584683489103 0.0944070255949092 0.07868108552573809 0.0674842061050579 0.4193242168800446
Country: The Everly Brothers	0.36351901622421573 0.2610367603289576 0.20414187127798536 0.6723634371869535 -0.3106694369376379 0.11815846834673466 0.09440702559716367 0.07868108552662627 0.06748420610341835 0.41932421687780985
The Very Best of	0.3635190162213183 0.2610367603275523 0.20414187127760897 0.6723634371859519 -0.31066943694018845 0.11815846834806965 0.0944070255997962 0.07868108552684491 0.06748420610506388 0.4193242168793936
Christmas With The Everly Brothers	0.3635190162226122 0.26103676032819123 0.20414187127771613 0.6723634371862925 -0.3106694369399422 0.11815846834821546 0.0944070255947998 0.07868108552727769 0.06748420610304504 0.4193242168790251
Love of the Common People	0.363519016224814 0.2610367603291774 0.20414187127844027 0.6723634371852181 -0.31066943693587057 0.11815846834712378 0.09440702559787313 0.0786810855292365 0.06748420610319628 0.4193242168800898
Rockfile, Volume 23	0.36351901622504246 0.2610367603293403 0.2041418712781906 0.6723634371852576 -0.3106694369381032 0.11815846834878779 0.0944070255976722 0.0786810855310332 0.06748420610434872 0.4193242168775039
Juke Box Saturday Night - 2WS FM 101.7	0.3635190162246863 0.26103676032915246 0.20414187127822547 0.6723634371850707 -0.3106694369381002 0.11815846834878524 0.09440702559540726 0.07868108552639863 0.06748420610414387 0.4193242168795106
50 Number One Country Hits	0.3635190162231034 0.2610367603283949 0.20414187127796532 0.6723634371840941 -0.3106694369405159 0.11815846835011337 0.0944070255956065 0.07868108552870845 0.06748420610484678 0.4193242168801016
Jukebox Saturday Night	0.36351901622336674 0.26103676032856643 0.2041418712754545 0.6723634371883341 -0.31066943693714655 0.11815846834889966 0.09440702559767947 0.07868108552905527 0.0674842061039128 0.41932421687687255
More 50’s	0.3635190162239857 0.26103676032884676 0.2041418712756531 0.6723634371867714 -0.31066943693766985 0.11815846835086961 0.09440702559828157 0.0786810855293855 0.06748420610359131 0.41932421687748855
Hits of the 60s	0.36351901622346383 0.2610367603285797 0.20414187127541897 0.6723634371867115 -0.31066943693761745 0.11815846834887395 0.0944070255977443 0.07868108552915755 0.06748420610138833 0.4193242168793002
20 Best Of 50's Rock 'n' Roll	0.36351901622466726 0.2610367603291837 0.20414187127593322 0.6723634371869563 -0.3106694369377533 0.11815846834890124 0.09440702559574692 0.07868108552673961 0.06748420610484296 0.41932421687774135
Fabulous 50s	0.36351901622327726 0.26103676032848133 0.204141871275329 0.6723634371867162 -0.31066943693760235 0.11815846834629509 0.0944070255946517 0.0786810855291182 0.06748420610518556 0.4193242168803289
Jukebox Classics, Volume 2	0.3635190162235412 0.26103676032865364 0.20414187127552816 0.6723634371864092 -0.3106694369397897 0.11815846834819403 0.09440702559713987 0.0786810855306831 0.06748420610282056 0.41932421687798666
The Legend of Rock ’n’ Roll, Volume 2	0.3635190162230467 0.2610367603284031 0.20414187127531178 0.6723634371863298 -0.3106694369399428 0.11815846834591984 0.09440702559567629 0.07868108552851812 0.06748420610465188 0.4193242168796538
Times of Your Life (1960 - 1965), Volume 1	0.3635190162249931 0.26103676032931183 0.20414187127599562 0.672363437185153 -0.3106694369382759 0.11815846835064431 0.0944070255961999 0.07868108552734275 0.06748420610439797 0.4193242168791389
Million Sellers - 24 Gold Discs	0.36351901622500365 0.2610367603293168 0.2041418712759993 0.6723634371851598 -0.31066943693827737 0.11815846834864545 0.09440702559754506 0.07868108552691219 0.06748420610715113 0.4193242168790118
Five Classic Albums Plus Bonus Singles & Radio Show Tracks	0.3635190162239787 0.2610367603288346 0.20414187127563133 0.6723634371845058 -0.3106694369403726 0.11815846834963642 0.09440702559803929 0.07868108552928565 0.06748420610327445 0.4193242168795766
Songs Our Daddy Taught Us	0.3635190162244878 0.26103676032905765 0.20414187127388078 0.6723634371850498 -0.3106694369384194 0.11815846834844684 0.09440702559736068 0.07868108552881013 0.06748420610493189 0.41932421688070737
This Is Gold	0.36351901622220406 0.2610367603313294 0.20414187127761252 0.672363437186384 -0.3106694369377865 0.11815846834864124 0.0944070255975286 0.07868108552730514 0.06748420610482457 0.41932421687818294
The Essential Collection	0.3635190162228175 0.2610367603295534 0.20414187127645841 0.6723634371854706 -0.3106694369389345 0.11815846834935521 0.09440702559609623 0.07868108552852453 0.06748420610461042 0.4193242168799389
Spicy Cunt, Volume 1	0.36351901622394245 0.261036760329611 0.20414187127674172 0.6723634371860823 -0.31066943693848353 0.11815846834828381 0.09440702559722447 0.07868108552869328 -0.19563768854180408 -0.376978529569332
Boston Blues	0.36351901622276084 0.261036760334648 0.20414187127283914 0.6723634371855872 -0.3106694369374624 0.11815846834848184 0.09440702559739893 -0.40328205723084093 -0.11508188706852163 -0.1034280993630792
Live at the Boston Tea Party, Part One	0.3635190162175053 0.26103676032812395 0.20414187127600864 0.6723634371879861 -0.31066943693498594 0.11815846834851844 0.0944070255972636 -0.4032820572342746 -0.11508188707355217 -0.1034280993629274
